TIC dtw Env USlope LSlope med mad os low row robAbbe rV reucliD reDSign rbLeon rbLeonsign per per_2 per_3 fm sm tm tail DeltaM eta slope slope_min r_value r_value_min class
11198070 3.851 -2.31e-05 0.001021124 0.001044221 10.583 0.00776781013028693 -0.196115519870953 -0.419314815768264 0.374707835350361 0.0175910093318109 0.03656344294544 0.020854709566288 0.0208131514678074 0.000597851809041927 3.00296924606869e-05 3.047 10.265 2.523 0.616 0.101 0.09 0.143 0.031 0.01718 0.00063 -0.00016 0.38794 -0.09952 PD
11198135 13.793 -0.003243865 -0.00138047 0.001863394 15.355 0.0228278082949503 -0.0773310644770496 -0.153212026192632 0.214328948680394 1.37389893008167 0.879947655757828 0.0279430402094727 0.0208304693588089 0.0152133977181101 0.000219040979686724 4.496 12.038 3.447 0.197 0.045 0.033 0.15 0.103 1.18969 -0.00145 -0.00196 -0.38635 -0.51188 PR
11198536 8.072 -0.00037942 0.003910019 0.004289439 14.851 0.0328480504753558 0.00907236591844451 0.0377549294060851 0.0309324031006815 0.11890889788115 0.343384922583297 0.0220812026161699 3.62324884071313e-08 0.00636214542767632 0.000127827296365624 11.538 7.418 5.569 0.283 0.071 0.055 0.635 0.058 0.10276 0.00487 0.00412 0.96224 0.94816 T1
11199347 0.756 0.000385524 0.000104623 -0.000280902 11.055 0.018496081559986 0.18174252945777 0.243270218234719 -0.0542589040000406 0.00628744222138871 0.0429484861948298 0.0208705479872475 0.0208129883854142 0.000750888758014767 -9.14699508669514e-06 4.62 3.522 13.736 0.951 0.103 0.096 0.029 0.044 0.01255 0.00014 4e-05 0.06486 0.01999 PE
11199349 43.81 -0.007077703 -0.01194683 -0.004869127 12.4153 0.181036969608813 0.235967687184954 0.324328248811702 0.233471699920339 0.00367993164132777 0.325204273111332 0.0219529428873227 -0.020840025860624 0.0023696568981233 -0.000151421239802829 14.011 5.794 3.272 0.277 0.234 0.113 0.136 0.836 0.00608 -0.0057 -0.00581 -0.18961 -0.18511 D
11199488 2.979 7.67e-06 -0.00118599 -0.001193663 13.366 0.0926102989935098 0.0437367936051059 0.0638294644101975 -0.141317466683367 0.00706159334818345 0.22320189250077 0.0213600755351887 0.0208191728938217 0.00361093357668096 -9.51172454577431e-06 3.297 2.697 4.171 0.949 0.141 0.12 0.003 0.212 0.01701 -0.00033 -0.00027 -0.03151 -0.02486 PE
11199550 26.713 0.009311572 0.008786107 -0.000525465 14.486 0.0594170452225754 0.197264686560623 -0.206235705918812 0.311228006599535 0.0450457467238505 0.41522998129149 0.0226390300950508 -0.020813600486912 0.00664280191039168 3.50605483188104e-05 3.696 19.63 2.148 0.246 0.12 0.091 0.101 0.296 0.04121 0.00299 0.00281 0.22719 0.20028 D
11199699 2.057 0.000749942 0.000422585 -0.000327357 13.0111 0.00575448224784876 0.110847490950817 -0.170646913251216 0.0634019496048333 0.471048160554244 0.13104955008656 0.0210241335995528 0.0208130467411485 0.00234397293101196 9.17680502556806e-05 19.381 8.966 0.774 0.335 0.266 0.11 0.275 0.023 0.51574 0.00031 -3e-05 0.35501 -0.04153 NoC
11200467 10.729 9.73e-05 0.000763176 0.000665921 15.061 0.0187085366466216 0.0356846329842537 -0.214464756171678 0.103555433356924 1.44857003350047 0.703878129059616 0.0255736489069189 -0.020814541484952 0.012400008850447 0.00041213296958631 2.198 12.413 5.569 0.175 0.049 0.026 0.049 0.072 1.41903 0.00161 0.00087 0.44446 0.3009 PR
11200615 1.786 -0.000391864 -0.000566919 -0.000175054 11.684 0.016233462016517 0.374286932154306 0.00659990679330588 0.1912248687318 0.0125367908443038 0.0656985450861161 0.0208879316018657 0.0208132331614576 0.00112912100251883 8.16484426202635e-06 6.019 3.222 4.196 0.692 0.29 0.075 0.033 0.058 0.015 0.00013 0.00038 0.04683 0.13756 PE
11200664 30.995 -0.00584954 0.010843454 0.016692994 15.9121 0.102378795803474 -0.0711961817270316 -0.101031438498819 0.0305200285576908 0.168116610658416 1.28471195192749 0.0342999643086675 0.0208144390736465 0.0220536811544179 0.000582889745077253 10.939 4.171 6.968 0.291 0.065 0.055 0.59 0.276 0.21738 0.00978 0.01187 0.7667 0.78982 NoC
11200691 8.934 -0.007509047 -0.007785644 -0.000276597 14.07 0.0689697138706295 0.276455532131617 0.122859492889818 0.0890593153047094 0.0174544786498831 0.27587453672168 0.0216330704498816 -0.0208163836204162 0.00509186955910046 9.33938301912463e-05 11.289 5.969 20.654 0.497 0.229 0.149 0.136 0.261 0.03542 -0.00293 -0.00291 -0.31467 -0.29632 D
11201015 3.068 0.000492755 0.000105173 -0.000387581 13.753 0.0378591921651406 0.00656868042168962 0.12502758824896 -0.0956327793238134 0.0496902543286264 0.23847797504511 0.0214278369631664 0.0208189814874288 0.00429928692767767 0.000218703413294108 1.798 2.048 1.598 0.943 0.095 0.073 0 0.091 0.08467 0.00025 0.00022 0.05962 0.05078 PE
11201232 1.914 -0.001723249 -0.000868082 0.000855167 11.32 0.0134841815461191 -0.0330721200862795 -0.236258425914063 -0.107389259819306 0.016302411488004 0.0534997212427511 0.0208748536229459 -0.0208132746616236 0.000918751938083773 6.42280349332225e-05 3.846 5.12 3.072 0.804 0.105 0.088 0.135 0.021 0.01896 0.00025 -1e-05 0.13801 -0.00758 PAD
11201992 3.393 -7.52e-05 -0.000964066 -0.000888843 12.997 0.0159815514166273 0.0683583604944932 -0.0640427941544418 0.0812926933360705 0.194040205557999 0.215338087879209 0.0213416711144119 0.0208131600081757 0.00398867448875073 -9.88746579881905e-05 4.521 6.469 3.472 0.755 0.116 0.111 0.07 0.049 0.2392 -0.00035 -0.00059 -0.16422 -0.26372 PE
11202039 7.614 -0.001791769 -0.000357892 0.001433877 14.38 0.0675962410066875 -0.0226459987883032 0.0586440832244693 0.0954830416783016 0.0475745175918677 0.452404282927118 0.0229028706496373 -0.0208176588175658 0.00791885722615682 0.000198679368576649 20.005 3.746 8.791 0.823 0.119 0.086 0.782 0.184 0.06471 -0.00212 -0.00217 -0.25804 -0.258 NoC
11202168 7.062 -0.001870485 -0.001562755 0.00030773 12.512 0.0162785530123041 0.283696745550499 -0.237976848021158 0.219579704780254 0.0993668431031783 0.175917287048019 0.0211593644262967 0.0208147669855151 0.00277149715216041 7.22728458200095e-05 2.747 1.324 4.595 0.223 0.118 0.089 0.101 0.054 0.09958 -0.00091 -0.00119 -0.31963 -0.40079 NoC
